,Spanish,Portuguese
458,meses,meses
459,exactamente,exatamente
460,culpa,culpa
461,abajo,abaixo
462,escuela,escola
463,ido,perdido
464,fuerte,forte
465,diciendo,ditado
466,habla,fala
467,esté,esse
468,ello,isto
469,pregunta,perguntar
470,chicas,garotas
471,eran,eram
472,unas,unhas
473,pasando,indo
474,atrás,voltar
475,malo,ruim
476,capitán,capitão
477,sra.,Sra
478,bebé,bebê
479,segundo,segundo
480,sabemos,nós sabemos
481,mayor,idoso
482,comida,refeição
483,morir,morrer
484,conozco,saber
485,dame,dê para mim
486,fácil,fácil
487,comer,comer
488,vino,veio
489,lista,lista
490,haga,fazer
491,necesitas,você precisa
492,hijos,crianças
493,probablemente,provavelmente
494,padres,pais
495,habitación,sala
496,creer,acreditar
497,pensando,pensamento
498,fueron,eram
499,dime,diga-me
500,trata,Trelas
501,buscando,procurando
502,tuve,Eu tive
503,tampoco,nenhum
504,amo,amor
505,joven,jovem
506,podrías,você poderia
507,sola,sozinho
508,par,par
509,única,apenas
510,hacen,fazer
511,seguir,continuar
512,dr.,Dr.
513,simplemente,simplesmente
514,dicen,Eles dizem
515,medio,metade
516,puta,cadela
517,saben,Eles sabem
518,sentido,senso
519,hagas,Você faz
520,segura,seguro
521,esperar,espere
522,lejos,distante
523,arma,arma
524,alto,alto
525,pequeña,pequeno
526,dólares,Dólares
527,seis,seis
528,estaban,eram
529,seguridad,segurança
530,maldita,condenado
531,estuvo,era
532,preocupes,preocupar
533,palabra,palavra
534,esperando,esperando
535,queda,é sobrou
536,oficina,escritório
537,matar,matar
538,iré,Eu vou
539,cama,cama
540,además,além do mais
541,último,durar
542,oído,orelha
543,habría,haveria
544,estará,vai ser
545,dio,deu
546,recuerdo,memória
547,siendo,ser
548,acerca,sobre
549,tenga,ter
550,luz,luz
551,correcto,correto
552,ud.,Você.
553,demonios,demônios
554,nuestras,nosso
555,verte,para te ver
556,dormir,dormir
557,sitio,lugar
558,ayudar,ajuda
559,conseguir,pegar
560,di,deu
561,marido,marido
562,paz,paz
563,idiota,idiota
564,plan,plano
565,dado,dado
566,cuanto,quanto
567,peor,pior
568,murió,morreu
569,pueblo,cidade
570,vivo,vivo
571,venido,Eu venho
572,john,John
573,basta,Suficiente
574,paso,passado
575,deberíamos,deveríamos
576,música,música
577,diga,Dizer
578,minuto,minuto
579,anoche,noite passada
580,llamar,chamar
581,piensa,pensar
582,país,País
583,digas,você diz
584,rey,rei
585,perdón,desculpe
586,mucha,bastante
587,falta,falta
588,pienso,Eu penso
589,diablos,Demonios
590,perdido,perdido
591,niña,garotinha
592,señorita,Perder
593,diez,dez
594,lleva,carregar
595,hospital,hospital
596,grandes,grande
597,maldito,condenado
598,otras,outros
599,llamado,chamado
600,hacemos,nós fazemos
601,llevar,carregar
602,fuego,fogo
603,aqui,aqui
604,tuvo,tive
605,poner,colocar
606,calle,rua
607,acaba,apenas
608,prueba,prova
609,increíble,incrível
610,real,real
611,libro,livro
612,orden,ordem
613,semanas,semanas
614,especial,especial
615,mía,meu
616,café,café
617,duro,duro
618,empezar,começar
619,afuera,fora
620,queremos,nós queremos
621,perro,cachorro
622,cielo,querido
623,jack,Jack
624,puesto,posição
625,viaje,jornada
626,detrás,atrás
627,cuarto,sala
628,querida,Querido
629,haría,faria
630,preguntas,questões
631,piensas,Você pensa
632,querido,querido
633,libre,livre
634,buscar,procurar
635,cual,qual
636,diré,eu vou dizer
637,suena,sons
638,jugar,jogar
639,cambio,mudar
640,película,filme
641,millones,milhões
642,habrá,haverá
643,llamada,chamar
644,resto,descansar
645,vemos,Nós vemos
646,extraño,estranho
647,mala,ruim
648,presidente,Presidente
649,srta.,EM.
650,irme,Ir
651,ropa,roupas
652,perder,perder
653,vuelve,volta
654,agente,agente
655,palabras,palavras
656,información,Informação
657,raro,queer
658,hará,vai fazer
659,entiendes,você entende
660,éste,esse
661,trabajando,trabalhando
662,tratando,tratamento
663,general,em geral
664,trato,negócio
665,usar,vestir
666,perfecto,perfeito
667,derecho,direito
668,modo,modo
669,ayer,ontem
670,conoces,você sabe
671,demás,o resto
672,quieras,Você quer
673,podríamos,poderíamos
674,noticias,notícias
675,asesino,assassino
676,encontrado,encontrado
677,control,ao controle
678,odio,odiar
679,frente,testa
680,sexo,sexo
681,decirle,Diga à ele
682,estaré,Eu vou ser
683,divertido,diversão
684,armas,armas
685,recuerdas,lembrar
686,amiga,amigo
687,grupo,conjunto
688,asunto,assunto
689,acabo,apenas
690,mensaje,mensagem
691,encima,sobre
692,atención,atenção
693,diferente,diferente
694,uh,UH
695,cállate,fique quieto
696,daño,dano
697,sucede,acontece
698,cambiar,mudar
699,siguiente,seguindo
700,sino,mas
701,the,O
702,seas,Você é
703,médico,doutor
704,boca,boca
705,dejó,deixar
706,error,erro
707,jamás,nunca
708,largo,longo
709,pena,pesar
710,voz,voz
711,futuro,futuro
712,siente,Sentir
713,secreto,segredo
714,baño,banheiro
715,mil,mil
716,decirte,dizer a você
717,sam,Sam
718,pensaba,pensamento
719,novia,noiva
720,propia,ter
721,sueño,sonhar
722,haz,feixe
723,fuerza,força
724,deben,Eles devem
725,supone,Supõe
726,estábamos,fomos
727,ambos,ambos
728,ay,Oh
729,estuve,Eu estive
730,encontré,eu encontrei
731,vuelto,virado
732,dolor,dor
733,dile,diga à ele
734,encanta,O amor é
735,edad,idade
736,darle,dê a ele
737,pie,pé
738,negro,preto
739,ganar,ganho
740,york,Iorque
741,aire,ar
742,lamento,lamento
743,verlo,vê-lo
744,asesinato,assassinato
745,vio,serra
746,adónde,para onde
747,llegado,chegado
748,disculpe,com licença
749,s,s
750,cita,encontro
751,estaría,Seria
752,fuiste,Você era
753,sistema,sistema
754,gusto,gosto
755,pobre,pobre
756,negocio,negócios
757,mente,mente
758,tuyo,seu
759,campo,campo
760,mire,Olhar
761,situación,situação
762,tras,depois
763,hotel,hotel
764,vosotros,você
765,funciona,funciona
766,foto,foto
767,abogado,advogado
768,loca,louco
769,propio,ter
770,alrededor,em volta
771,próxima,próximo
772,terminado,finalizado
773,hablas,falar
774,pagar,pagar
775,mató,morto
776,llamo,chamado
777,personal,funcionários
778,sientes,você sente
779,ocurre,ocorre
780,ésta,Está
781,recuerda,lembrar
782,mitad,metade
783,quiera,querer
784,pelo,cabelo
785,tenías,Você tinha
786,viste,vestidos
787,oficial,oficial
788,llegó,chegar
789,compañía,empresa
790,relación,relação
791,conoce,conhecido
792,pase,acontece
793,montón,muito
794,mejores,principal
795,creí,eu acreditei
796,cena,jantar
797,sentir,sentir
798,través,através
799,accidente,acidente
800,i,Yo
801,ellas,eles
802,caja,caixa
803,tranquilo,não se preocupe
804,bonito,bonito
805,asi,Então
806,pudo,poderia
807,vive,vidas
808,vista,visualizar
809,estúpido,idiota
810,línea,linha
811,caballeros,cavalheiros
812,haremos,vai
813,dan,dar
814,quédate,ficar
815,tienda,loja
816,comprar,comprar
817,entendido,entendido
818,centro,Centro
819,salvo,exceto
820,mes,mês
821,joe,Joe
822,sol,sol
823,tonto,bobagem
824,hambre,fome
825,michael,Michael
826,mesa,mesa
827,respuesta,responder
828,completamente,completamente
829,david,David
830,carta,carta
831,totalmente,completamente
832,imposible,impossível
833,pruebas,evidência
834,novio,namorado
835,normal,normal
836,gustan,como
837,frank,Frank
838,pude,poderia
839,charlie,Charlie
840,traje,terno
841,dirección,endereço
842,siete,Sete
843,dijeron,Eles disseram
844,placer,prazer
845,sean,Sean
846,tendrá,terá
847,barco,enviar
848,blanco,branco
849,tom,Tom
850,profesor,professor
851,servicio,serviço
852,muchacho,rapaz jovem
853,reunión,reunião
854,dejado,Deixado
855,ley,lei
856,quisiera,Eu gostaria
857,hubo,era
858,george,George
859,programa,programa
860,carrera,carreira
861,cumpleaños,aniversário
862,muchachos,Rapazes
863,culo,bunda
864,canción,canção
865,hermosa,lindo
866,universidad,universidade
867,boda,casamento
868,decirme,Diga-me
869,cualquiera,qualquer
870,tengas,Ter
871,hacía,na direção
872,estés,ser
873,sala,salão
874,llevo,ele levou
875,decisión,decisão
876,espere,espere
877,don,Vestir
878,necesario,necessário
879,sal,sal
880,entra,entra
881,prisa,pressa
882,carajo,Porra
883,embargo,embargo
884,interesante,interessante
885,tendrás,voce terá
886,escuchar,ouvir
887,abuela,avó
888,hicieron,eles fizeram
889,detective,detetive
890,horrible,horrível
891,suelo,chão
892,fotos,fotos
893,cárcel,cadeia
894,acá,aqui
895,io,Io
896,mike,Mike
897,siéntate,Sentar-se
898,decía,Ele disse
899,intentando,tentando
900,vámonos,vamos
901,maldición,xingamento
902,silencio,silêncio
903,muerta,morto
904,capaz,capaz
905,salió,Ele saiu
906,club,clube
907,terminar,terminar
908,temo,Eu temo
909,broma,piada
910,gobierno,governo
911,prometo,eu prometo
912,cámara,Câmera
913,media,metade
914,terrible,Terrível
915,llamó,chamado
916,regalo,presente
917,amable,amável
918,dulce,doce
919,muertos,morto
920,querías,Você queria
921,ataque,AVC
922,das,você dá
923,navidad,Natal
924,negocios,negócios
925,pudiera,poderia
926,ocho,oito
927,avión,avião
928,investigación,investigação
929,acabó,apenas
930,juro,Juro
931,mantener,manter
932,ejército,exército
933,papel,papel
934,partes,Festas
935,ten,Dez
936,gracioso,engraçado
937,diría,diria
938,principio,princípio
939,delante,em frente de
940,teniente,tenente
941,deseo,desejo
942,vayas,ir
943,nave,enviar
944,sale,sai
945,basura,lixo
946,vine,veio
947,contacto,contato
948,esposo,marido
949,tren,trem
950,encontramos,nós achamos
951,dale,Vá em frente
952,verdadero,verdadeiro
953,tuya,seu
954,alma,alma
955,hazlo,faça isso
956,disculpa,desculpe
957,junto,junto
958,anda,andar
959,tendré,eu terei
960,matrimonio,casado
961,saberlo,saber
962,locura,loucura
963,oro,ouro
964,permiso,permissão
965,director,diretor
966,peligro,perigo
967,libertad,liberdade
968,alegro,alegre
969,baja,baixo
970,tendremos,nós teremos
971,derecha,certo
972,encuentra,achados
973,pies,pés
974,segunda,segundo
975,maravilloso,maravilhoso
976,espacio,espaço
977,rato,momento
978,abuelo,avô
979,esperaba,eu esperava
980,mirando,olhando
981,salud,saúde
982,sorpresa,surpresa
983,ninguno,nenhum
984,miren,Olhar
985,triste,triste
986,aun,ainda
987,pensado,pensando
988,maestro,professor
989,según,de acordo com
990,infierno,inferno
991,podrían,poderia
992,tipos,pessoal
993,tía,tia
994,crimen,crime
995,conocido,conhecido
996,consejo,conselho
997,ante,tendo em vista
998,iglesia,igreja
